iter	Passed	Remaining
0	16	16531
1	20	10177
2	24	7986
3	27	6858
4	31	6223
5	34	5766
6	38	5437
7	41	5191
8	45	5005
9	49	4854
10	52	4724
11	56	4624
12	59	4540
13	63	4464
14	66	4385
15	70	4325
16	73	4269
17	77	4214
18	80	4172
19	85	4177
20	88	4130
21	91	4081
22	95	4041
23	98	4002
24	101	3968
25	105	3934
26	108	3912
27	111	3884
28	115	3857
29	118	3839
30	122	3813
31	125	3793
32	128	3771
33	132	3751
34	135	3732
35	138	3712
36	142	3695
37	145	3677
38	148	3661
39	152	3650
40	155	3638
41	158	3622
42	162	3610
43	165	3603
44	169	3596
45	172	3582
46	176	3571
47	180	3570
48	183	3554
49	186	3538
50	189	3524
51	192	3512
52	195	3496
53	198	3478
54	201	3464
55	204	3452
56	207	3438
57	211	3428
58	214	3415
59	217	3404
60	220	3391
61	223	3381
62	226	3370
63	229	3355
64	232	3343
65	235	3330
66	238	3320
67	241	3312
68	244	3304
69	248	3295
70	250	3282
71	254	3274
72	257	3269
73	260	3258
74	263	3244
75	265	3233
76	268	3224
77	271	3212
78	274	3202
79	277	3190
80	280	3178
81	283	3175
82	286	3167
83	289	3156
84	292	3145
85	294	3134
86	297	3124
87	300	3114
88	303	3107
89	306	3098
90	309	3086
91	311	3077
92	314	3067
93	317	3061
94	320	3050
95	322	3041
96	326	3034
97	328	3025
98	331	3017
99	334	3008
100	336	2999
101	340	2993
102	342	2985
103	345	2979
104	348	2971
105	351	2961
106	354	2955
107	356	2947
108	359	2940
109	362	2935
110	365	2926
111	367	2917
112	370	2910
113	373	2903
114	376	2899
115	379	2894
116	382	2885
117	384	2877
118	387	2867
119	389	2858
120	392	2852
121	395	2846
122	398	2838
123	400	2830
124	403	2823
125	406	2818
126	409	2815
127	412	2810
128	415	2805
129	418	2797
130	421	2792
131	423	2787
132	426	2779
133	429	2772
134	431	2766
135	434	2759
136	437	2752
137	440	2749
138	443	2745
139	446	2741
140	449	2737
141	452	2733
142	455	2729
143	458	2724
144	461	2718
145	464	2714
146	467	2710
147	470	2706
148	473	2702
149	476	2697
150	478	2693
151	482	2689
152	484	2684
153	487	2680
154	490	2673
155	493	2667
156	495	2661
157	498	2656
158	501	2654
159	504	2650
160	507	2645
161	510	2642
162	514	2639
163	517	2636
164	520	2632
165	522	2627
166	525	2623
167	528	2618
168	531	2613
169	534	2608
170	537	2605
171	540	2600
172	543	2596
173	546	2592
174	548	2587
175	551	2583
176	554	2578
177	557	2574
178	560	2571
179	563	2567
180	566	2563
181	569	2557
182	571	2552
183	574	2547
184	577	2542
185	580	2538
186	582	2534
187	585	2529
188	588	2525
189	591	2520
190	594	2516
191	596	2511
192	599	2507
193	602	2503
194	605	2499
195	608	2495
196	611	2490
197	613	2486
198	616	2482
199	619	2479
200	622	2475
201	625	2470
202	628	2466
203	631	2462
204	633	2458
205	636	2454
206	639	2449
207	642	2445
208	645	2442
209	648	2438
210	651	2434
211	653	2430
212	656	2425
213	659	2422
214	662	2418
215	665	2416
216	668	2412
217	671	2408
218	674	2404
219	676	2400
220	679	2396
221	682	2392
222	685	2389
223	688	2384
224	691	2380
225	693	2375
226	696	2371
227	698	2366
228	701	2362
229	704	2358
230	707	2355
231	710	2351
232	713	2347
233	716	2344
234	719	2340
235	722	2338
236	725	2334
237	728	2330
238	730	2326
239	733	2322
240	736	2318
241	738	2314
242	741	2309
243	743	2305
244	746	2300
245	749	2297
246	752	2292
247	754	2289
248	757	2285
249	760	2281
250	763	2276
251	765	2273
252	768	2270
253	771	2267
254	774	2263
255	777	2258
256	780	2255
257	782	2251
258	785	2248
259	788	2244
260	791	2241
261	794	2238
262	797	2234
263	800	2230
264	802	2226
265	805	2222
266	808	2219
267	811	2215
268	813	2211
269	816	2208
270	819	2205
271	822	2201
272	825	2197
273	828	2194
274	831	2191
275	834	2188
276	837	2184
277	839	2180
278	842	2176
279	844	2172
280	847	2168
281	850	2165
282	853	2161
283	855	2157
284	858	2154
285	861	2150
286	864	2147
287	867	2143
288	869	2139
289	872	2136
290	875	2133
291	878	2129
292	880	2125
293	883	2121
294	886	2118
295	888	2114
296	891	2110
297	894	2107
298	897	2103
299	899	2099
300	902	2095
301	905	2092
302	907	2088
303	910	2084
304	913	2081
305	916	2077
306	918	2073
307	921	2069
308	923	2066
309	926	2062
310	929	2058
311	931	2054
312	934	2050
313	936	2047
314	939	2043
315	942	2039
316	945	2036
317	948	2033
318	950	2029
319	953	2026
320	956	2023
321	959	2020
322	962	2016
323	965	2014
324	968	2010
325	971	2007
326	973	2004
327	976	2000
328	979	1997
329	982	1993
330	984	1990
331	987	1986
332	990	1983
333	993	1980
334	995	1976
335	998	1973
336	1001	1971
337	1004	1967
338	1007	1964
339	1010	1961
340	1013	1957
341	1015	1953
342	1018	1950
343	1021	1948
344	1024	1944
345	1027	1941
346	1030	1938
347	1032	1935
348	1040	1940
349	1044	1939
350	1047	1937
351	1050	1934
352	1053	1931
353	1056	1928
354	1059	1925
355	1062	1922
356	1065	1919
357	1068	1915
358	1070	1912
359	1073	1908
360	1076	1905
361	1079	1902
362	1082	1899
363	1085	1895
364	1087	1892
365	1090	1889
366	1093	1886
367	1096	1883
368	1099	1879
369	1101	1875
370	1104	1872
371	1106	1868
372	1109	1865
373	1112	1861
374	1115	1858
375	1118	1855
376	1120	1852
377	1123	1849
378	1126	1846
379	1129	1843
380	1132	1839
381	1135	1836
382	1138	1833
383	1141	1830
384	1144	1827
385	1147	1824
386	1150	1822
387	1153	1819
388	1156	1816
389	1159	1814
390	1163	1811
391	1165	1808
392	1168	1804
393	1171	1802
394	1174	1799
395	1177	1795
396	1179	1791
397	1182	1788
398	1185	1785
399	1188	1782
400	1190	1778
401	1193	1775
402	1196	1771
403	1198	1768
404	1200	1764
405	1203	1761
406	1206	1757
407	1208	1753
408	1211	1750
409	1213	1746
410	1216	1743
411	1218	1739
412	1221	1736
413	1224	1733
414	1227	1729
415	1229	1726
416	1232	1722
